Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R03) General Revenue,(E001) Total Expenditure,(E013) General Expenditure,(E024) Total Educ-Direct Exp,(E027) Elem Educ-Direct Exp,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E036) Educational Assistance (E19),(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32)
Illinois,2002,$       41094791,$       40339722,$       49131377,$       42678167,$        6128466,$              0,$        4622206,$        3969611,$         749390,$        3347796,$        3318505,$          29291,$        2431190,$        2423100
Illinois,2003,$       44422828,$       40815713,$       51291090,$       43954103,$        6128967,$              0,$        4625878,$        4011549,$         728798,$        3384113,$        3356024,$          28089,$        2431481,$        2424519
Illinois,2004,$       59632980,$       44896487,$       54861810,$       47241429,$        6652435,$              0,$        5103497,$        4630793,$         743976,$        3502484,$        3482245,$          20239,$        2514039,$        2506127
Illinois,2005,$       58790939,$       46436435,$       55372969,$       48005458,$        6567436,$              0,$        5254896,$        4863013,$         725623,$        3330818,$        3310826,$          19992,$        2418274,$        2411673
Illinois,2006,$       62515779,$       49058341,$       55746069,$       48030030,$        6732480,$              0,$        5395565,$        5012414,$         778518,$        2880786,$        2850322,$          30464,$        1953962,$        1951746
Illinois,2007,$       71322681,$       52409684,$       59929928,$       51612795,$        7007525,$              0,$        5544464,$        5044021,$         895601,$        3045324,$        3025727,$          19597,$        2092297,$        2087354
Illinois,2008,$       56667679,$       53365067,$       63373639,$       54264982,$        7411869,$              0,$        5947226,$        5461590,$         893390,$        3288490,$        3273467,$          15023,$        2283942,$        2281282
Illinois,2009,$       38582919,$       53810273,$       68424788,$       57082222,$        7401729,$              0,$        5845714,$        5398106,$         920795,$        3374626,$        3352751,$          21875,$        2258274,$        2255883
Illinois,2010,$       73558697,$       55958090,$       74482545,$       58460921,$        7453723,$              0,$        5994903,$        5578620,$         959212,$        3409047,$        3388786,$          20261,$        2182309,$        2179532
Illinois,2011,$       82446201,$       59649304,$       73801032,$       58650182,$        7389197,$              0,$        5934265,$        5582057,$         989235,$        3420970,$        3404162,$          16808,$        2135077,$        2133256
Illinois,2012,$       69539037,$       63010795,$       78153823,$       63596212,$        8162158,$              0,$        6290957,$        5771499,$        1222965,$        2292134,$        2264936,$          27198,$        1571717,$        1569735
Illinois,2013,$       88847964,$       67914675,$       80697442,$       66464057,$        8226003,$              0,$        6533071,$        6056567,$        1211802,$        2286945,$        2269257,$          17688,$        1327568,$        1325656
Illinois,2014,$       92305662,$       69437631,$       83735573,$       68982745,$        8322429,$              0,$        6568043,$        6044958,$        1302118,$        1834182,$        1805510,$          28672,$        1085805,$        1084635
Illinois,2015,$       81081130,$       70060683,$       85262193,$       71652058,$        8468093,$              0,$        6760764,$        6249858,$        1251484,$        1979403,$        1964741,$          14662,$        1222135,$        1220998
Illinois,2016,$       74108965,$       67464029,$       79673954,$       65294801,$        8069365,$              0,$        6494638,$        6090911,$        1156240,$        1864278,$        1841681,$          22597,$        1020119,$        1016572
Illinois,2017,$       87434281,$       68453591,$       87665115,$       72367014,$        8487659,$              0,$        6474606,$        6136644,$        1530962,$        2011719,$        1970174,$          41545,$        1099126,$        1094209
Indiana,1990,$       11490775,$       10702285,$       10413964,$        9992133,$        2145510,$              0,$        1797911,$        1566665,$         124500,$         682084,$         659116,$          22968,$         265313,$         263559
Indiana,1991,$       12288307,$       11222425,$       11734265,$       11153394,$        2356253,$              0,$        2075748,$        1813318,$         146078,$         721118,$         690863,$          30255,$         259369,$         257038
Indiana,1992,$       13977004,$       12752021,$       12340722,$       11691370,$        2462080,$              0,$        2186764,$        1937618,$         160599,$         809468,$         777694,$          31774,$         289554,$         288296
Indiana,1993,$       14673154,$       13485006,$       14136343,$       13480105,$        2555408,$              0,$        2247613,$        2000544,$         171547,$         798820,$         775725,$          23095,$         291849,$         288955
Indiana,1994,$       16005546,$       14678257,$       15048020,$       14336682,$        2759812,$              0,$        2448380,$        2204872,$         172070,$         829926,$         785140,$          44786,$         299855,$         296876
Indiana,1995,$       16259769,$       14848073,$       15284130,$       14325819,$        2883951,$              0,$        2558851,$        2295536,$         166289,$         820273,$         809290,$          10983,$         331171,$         325645
Indiana,1996,$       16549937,$       15064948,$       15367687,$       14422131,$        3246799,$              0,$        2878765,$        2403032,$         184478,$         554666,$         543941,$          10725,$         348200,$         341071
Indiana,1997,$       17634877,$       16089567,$       16379033,$       15408816,$        3340964,$              0,$        2954836,$        2615492,$         205275,$         565393,$         551945,$          13448,$         337969,$         330322
Indiana,1998,$       17876119,$       16481083,$       17223182,$       16278085,$        3584954,$              0,$        3178601,$        2870607,$         221821,$         579151,$         569674,$           9477,$         362291,$         356807
Indiana,1999,$       19149062,$       17728891,$       18613822,$       17437313,$        3731311,$              0,$        3280576,$        2973038,$         246077,$         591002,$         581609,$           9393,$         373178,$         368565
