Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R05) Total Taxes,(R06) Property Tax (T01),(R07) NonProperty Taxes,(R08) Tot Sales & Gr Rec Tax,(R09) Total Gen Sales Tax (T09),(R10) Total Select Sales Tax,(R11) Alcoholic Beverage Tax (T10),(R12) Amusement Tax (T11),(R13) Insurance Premium Tax (T12),(R14) Motor Fuels Tax (T13),(R15) Parimutuels Tax (T14),(R16) Public Utility Tax (T15),(R17) Tobacco Tax (T16),(R18) Other Select Sales Tax (T19),(R19) Total License Taxes,(R20) Alcoholic Beverage Lic (T20),(R21) Corporation License (T22),(R22) Motor Veh & Oper Lic,(R23) Motor Vehicle License (T24),(R24) Motor Veh Oper License (T25),(R25) Other License Taxes,(R26) Total Income Taxes,(R27) Individual Income Tax (T40),(R28) Corp Net Income Tax (T41),(R29) Death and Gift Tax (T50),(R30) Taxes NEC
Florida,2001,$       46370565,$       24938748,$         498924,$       24439824,$       19003812,$       14716286,$        4287526,$         545488,$              0,$         387855,$        1731688,$          29247,$         651142,$         442711,$         499395,$        1548989,$          29821,$         123905,$        1083400,$         959619,$         123781,$         311863,$        1591473,$              0,$        1591473,$         707565,$        1587985
Florida,2002,$       48489136,$       25352237,$         427626,$       24924611,$       19456464,$       14408709,$        5047755,$         547682,$              0,$         414369,$        1808863,$          29822,$        1305753,$         466464,$         474802,$        1556806,$          30607,$         128147,$        1061703,$         940387,$         121316,$         336349,$        1218864,$              0,$        1218864,$         751611,$        1940866
Florida,2003,$       55212605,$       26993487,$         346230,$       26647257,$       20575312,$       14963444,$        5611868,$         607748,$              0,$         510940,$        1909506,$          31224,$        1654278,$         478622,$         419550,$        1756585,$          33377,$         144416,$        1232144,$        1085628,$         146516,$         346648,$        1226980,$              0,$        1226980,$         558880,$        2529500
Florida,2004,$       74691770,$       30534283,$         276786,$       30257497,$       23409406,$       17128515,$        6280891,$         591682,$              0,$         711145,$        2021677,$          26747,$        1712380,$         449360,$         767900,$        1774881,$          34492,$         161423,$        1276625,$        1124851,$         151774,$         302341,$        1441338,$              0,$        1441338,$         386767,$        3245105
Florida,2005,$       77356361,$       33894971,$         299856,$       33595115,$       25486454,$       19056249,$        6430205,$         622635,$              0,$         764559,$        2093900,$          28335,$        1840560,$         465772,$         614444,$        1894180,$          34295,$         176414,$        1364107,$        1196658,$         167449,$         319364,$        1785213,$              0,$        1785213,$         294889,$        4134379
Florida,2006,$       86669544,$       40132721,$         187941,$       39944780,$       30515783,$       22814360,$        7701423,$         642926,$              0,$         879079,$        2264350,$          28145,$        2923980,$         456794,$         506149,$        1899350,$          35855,$         191716,$        1366866,$        1191111,$         175755,$         304913,$        2405863,$              0,$        2405863,$          71300,$        5052484
Florida,2007,$       98081462,$       38818707,$          40518,$       38778189,$       30615783,$       22848990,$        7766793,$         653721,$              0,$         785875,$        2305859,$          28098,$        3023849,$         454017,$         515374,$        1875317,$          36846,$         196157,$        1348925,$        1176282,$         172643,$         293389,$        2442516,$              0,$        2442516,$          43397,$        3801176
Florida,2008,$       68885833,$       35977055,$           2100,$       35974955,$       29420120,$       21518100,$        7902020,$         609185,$         131978,$         714400,$        2289166,$          19227,$        3159400,$         443732,$         534932,$        1879315,$          36833,$         220112,$        1314729,$        1153139,$         161590,$         307641,$        2208600,$              0,$        2208600,$          12220,$        2454700
Florida,2009,$       45718315,$       32053099,$            800,$       32052299,$       26977862,$       19228000,$        7749862,$         590400,$         114065,$         651300,$        2229827,$          14118,$        3170100,$         447061,$         532991,$        1823237,$           8629,$         239887,$        1300541,$        1119332,$         181209,$         274180,$        1836800,$              0,$        1836800,$           4800,$        1409600
Florida,2010,$       90757028,$       30484883,$            700,$       30484183,$       25239467,$       17535295,$        7704172,$         590423,$         148604,$         667800,$        2266814,$          11460,$        3079200,$         389267,$         550604,$        2124726,$           8583,$         238147,$        1592933,$        1282832,$         310101,$         285063,$        1793180,$              0,$        1793180,$           3300,$        1323510
Florida,2011,$      105241845,$       31634260,$            320,$       31633940,$       26181186,$       18378130,$        7803056,$         560163,$         137578,$         698100,$        2268475,$           9420,$        3122370,$         394276,$         612674,$        2183504,$           8314,$         273635,$        1599191,$        1253518,$         345673,$         302364,$        1869870,$              0,$        1869870,$           1120,$        1398260
Florida,2012,$       75185357,$       32997012,$            140,$       32996872,$       27267196,$       19403788,$        7863408,$         527016,$         157108,$         704760,$        2273685,$           9360,$        3162560,$         381485,$         647434,$        2205376,$           8268,$         275849,$        1655169,$        1305028,$         350141,$         266090,$        2003490,$              0,$        2003490,$            360,$        1520450
Florida,2013,$       97449605,$       35432266,$            360,$       35431906,$       29370441,$       20785507,$        8584934,$         486278,$         165804,$         657710,$        2332191,$           9150,$        3045930,$        1227200,$         660671,$        1993965,$           8332,$         284117,$        1431000,$        1227158,$         203842,$         270516,$        2071710,$              0,$        2071710,$            290,$        1995500
Florida,2014,$      105312990,$       36335598,$            250,$       36335348,$       29998178,$       21480910,$        8517268,$         452370,$         187639,$         702340,$        2422718,$          10412,$        2719350,$        1322241,$         700198,$        2133240,$           8663,$         298604,$        1568092,$        1380910,$         187182,$         257881,$        2043750,$              0,$        2043750,$           1710,$        2158470
Florida,2015,$       90206013,$       37217759,$             70,$       37217689,$       30336315,$       21800895,$        8535420,$         459019,$         198094,$         690160,$        2481760,$           7401,$        2689490,$        1192906,$         816590,$        2138834,$           8515,$         309821,$        1537391,$        1381688,$         155703,$         283107,$        2237500,$              0,$        2237500,$            410,$        2504630
Florida,2016,$       86483094,$       38507524,$              0,$       38507524,$       31296426,$       22418257,$        8878169,$         396418,$         202942,$         705400,$        2611492,$           6921,$        2408133,$        1223029,$        1323834,$        2241468,$           9132,$         315059,$        1669397,$        1552251,$         117146,$         247880,$        2272230,$              0,$        2272230,$            140,$        2697260
Florida,2017,$      106907885,$       41333978,$              0,$       41333978,$       34089929,$       25346166,$        8743763,$         323393,$         207144,$         959339,$        2727802,$           7800,$        1972968,$        1197666,$        1347651,$        2027150,$           7005,$         238350,$        1538953,$        1374140,$         164813,$         242842,$        2383783,$              0,$        2383783,$            644,$        2832472
Georgia,1994,$       18264650,$        8784065,$          33779,$        8750286,$        4151459,$        3266812,$         884647,$         114371,$              0,$         198773,$         490883,$              0,$              0,$          80620,$              0,$         390981,$           4704,$          25065,$         241600,$         203731,$          37869,$         119612,$        4102113,$        3580714,$         521399,$          87672,$          18061
Georgia,1995,$       20283513,$        9486639,$          32893,$        9453746,$        4460160,$        3538675,$         921485,$         115344,$              0,$         195823,$         518143,$              0,$              0,$          92175,$              0,$         402384,$           7314,$          28903,$         244116,$         207837,$          36279,$         122051,$        4494891,$        3841595,$         653296,$          74762,$          21549
Georgia,1996,$       22408977,$       10292371,$          35651,$       10256720,$        4785987,$        3823895,$         962092,$         122051,$              0,$         205159,$         547641,$              0,$              0,$          87241,$              0,$         420202,$           4471,$          31229,$         242089,$         208092,$          33997,$         142413,$        4963496,$        4244096,$         719400,$          66538,$          20497
